CitationKey,Study,Modality,Geographic_Region,Year,Location,Population,Study method,Sample size (N),QA,Len_n,Len_M,Len_SD,Len_SE,Wid_n,Wid_M,Wid_SD,Wid_SE,Thick_n,Thick_M,Thick_SD,Thick_SE,Vol_n,Vol_M,Vol_SD,Vol_SE,VolSex_Male N,VolSex_Male M,VolSex_Male SD,VolSex_Male SE,VolSex_Female N,VolSex_Female M,VolSex_Female SD,VolSex_Female SE,ArtDiam_n,ArtDiam_M,ArtDiam_SD,ArtDiam_SE,Branches_N,Branches_1,Branches_2,Branches_3,Branches_4,Branches_5,Branches_6,Branches_Other
acar_2022,"Acar, G. et al. (2022)",CT,Europe,2022,Türkiye,"Patients without surgical intervention/pathologies aged 18-82, avg age 61.7±15.3. ♂ – 214, ♀ – 126",Contrast CT scan of the abdomen,340,HIGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
araujo_2015,"Araujo Neto, S.A. et al. (2015)",CT,South America,2015,"Joao Pessoa, Brazil","♂ – 25, ♀ – 35",CT,60,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashok_2016,"Ashok, K.R. et al. (2016)",Cadaveric,Asia,2016,India,,Cadaver study,76,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brinkman_2021,"Brinkman, D.J. et al. (2020)",CT,Europe,2021,"Eindhoven, Netherlands","People aged 30 to 69 years. ♂ – 40, ♀ – 40",Retrospective cohort study using contrast-enhanced CT,80,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
celiktas_2015,"Çeliktas, M. et al. (2015)",Ultrasound,Europe,2015,"Adana, Turkey",78 men and 72 women aged 18 to 76 years,Ultrasound,150,MEDIUM,,,,,,,,,,,,,,,,,72,220.7,115.35,13.59412787,78,136.05,61.14,6.922741787,,,,,,,,,,,,
chaware_2012,"Chaware, P.N. et al. (2012)",Cadaveric,Asia,2012,"Nagpur, India","♂ – 96, ♀ – 15",Cadaver study,111,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,,95,16,,,,
chen_2008,"Chen, T.Y. et al. (2008)",Mixed / Multiple,Asia,2008,"Taiwan, China","People aged 22 to 54 years, average age 33.8 ± 8.4 years. ♂ – 15, ♀ – 8","Ultrasound, CT",23,LOW,,,,,,,,,,,,,23,185,65,13.55343691,,,,,,,,,,,,,,,,,,,,
cortes_1988,"Cortés, J.A. et al. (1988)",Corrosion Casting,Europe,1988,"Madrid, Spain","People range in age from 10 to 88 years, with an average age of 63.5 years. ♂ – 18, ♀ – 12",Corrosive casting,30,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,27,3,,,,
covantsev_2023,"Covantsev, S. et al. (2023)",Cadaveric,Europe,2023,"Chisinau, Moldova",,Cadaver study,330,MEDIUM,330,9.43,3.62,0.199274441,330,6.71,2.72,0.149731072,,,,,,,,,,,,,,,,,,,,,330,11,273,32,10,2,2,15
cruz-romero_2016,"Cruz-Romero, C. et al. (2016)",CT,North America,2016,"Boston, USA","♂ – 32, ♀ – 69","Retrospective study, abdominal CT",101,LOW,,,,,,,,,,,,,101,244.4,116.4,11.58223289,32,304.3,119.6,21.14249276,69,216.6,104.5,12.58032165,,,,,,,,,,,,
